Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1BLfQ6dPXmuDrFmbdfW7Jl,"0nmQIMXWTXfhgOBdNzhGOs","A Little Piece of Heaven","Avenged Sevenfold","Avenged Sevenfold",2007-10-26,480706,74,spotify:user:angels_anarchy,2023-03-11T09:11:39Z,"alternative metal,nu metal",0.486,0.881,2,-5.623,0,0.0474,0.0244,0,0.429,0.667,144.997,4
2NImo2MajNai4CLk35wMut,"0nmQIMXWTXfhgOBdNzhGOs","This Means War","Hail to the King","Avenged Sevenfold",2013-08-23,369293,66,spotify:user:angels_anarchy,2023-03-11T09:10:07Z,"alternative metal,nu metal",0.614,0.914,7,-5.59,0,0.0324,0.000554,0.0000116,0.0371,0.439,90,4
031uTUhyy6xmDJqmeWJBi9,"0nmQIMXWTXfhgOBdNzhGOs","God Hates Us","Nightmare","Avenged Sevenfold",2010-07-23,319186,56,spotify:user:angels_anarchy,2023-03-11T09:10:04Z,"alternative metal,nu metal",0.453,0.959,0,-6.121,0,0.119,0.000321,0.14,0.132,0.204,139.997,4
1f2nJKg780VxYIveVq6Xej,"1IQ2e1buppatiN1bxUVkrk","South Of Heaven","South Of Heaven","Slayer",1988-01-01,298533,53,spotify:user:angels_anarchy,2023-03-11T09:10:13Z,"alternative metal,death metal,groove metal,hard rock,metal,nu metal,old school thrash,rock,speed metal,thrash metal",0.314,0.991,5,-3.867,0,0.318,0.000155,0.0477,0.0968,0.0395,138.975,4
5QcSLVq30mIhTSOHlhjnCF,"1IQ2e1buppatiN1bxUVkrk","Payback","God Hates Us All","Slayer",2001-09-11,183040,40,spotify:user:angels_anarchy,2023-03-11T09:10:16Z,"alternative metal,death metal,groove metal,hard rock,metal,nu metal,old school thrash,rock,speed metal,thrash metal",0.267,0.999,6,-3.653,1,0.231,0.000323,0.182,0.0402,0.0748,111.318,4
6EuQWe86zMcZmbWFnBv9JY,"22ir7fJyz79GZxm2LuMnns,0Y7lDsDZc8qYny9MTq8xG2","Welcome To Hell","Welcome To Hell","Algor Mortis,Waking the Cadaver",2023-06-26,145000,14,spotify:user:angels_anarchy,2023-07-03T16:51:33Z,"australian hardcore,brutal deathcore,deathcore",0.227,0.891,0,-9.289,1,0.107,0.00000613,0.952,0.272,0.134,73.181,1
0esBc6VgM4lFk3SOlL3Ys4,"1IQ2e1buppatiN1bxUVkrk","Disciple","God Hates Us All","Slayer",2001-09-11,215693,50,spotify:user:angels_anarchy,2023-03-11T09:10:19Z,"alternative metal,death metal,groove metal,hard rock,metal,nu metal,old school thrash,rock,speed metal,thrash metal",0.238,0.994,8,-3.578,1,0.25,0.00179,0.00944,0.202,0.0839,95.569,4
1fQaoh3imrMunWVZh5kf90,"0nmQIMXWTXfhgOBdNzhGOs","Shepherd of Fire","Hail to the King","Avenged Sevenfold",2013-08-23,323800,72,spotify:user:angels_anarchy,2023-03-11T09:10:22Z,"alternative metal,nu metal",0.576,0.906,2,-7.677,1,0.0571,0.000332,0.0614,0.0908,0.211,127.935,4
4UEo1b0wWrtHMC8bVqPiH8,"0nmQIMXWTXfhgOBdNzhGOs","Nightmare","Nightmare","Avenged Sevenfold",2010-07-23,374453,74,spotify:user:angels_anarchy,2023-03-11T09:10:26Z,"alternative metal,nu metal",0.554,0.949,2,-4.928,1,0.0787,0.000318,0.0000998,0.2,0.233,129.984,4
0jqblvsI9LBY4irmLVqqEO,"0nmQIMXWTXfhgOBdNzhGOs","Welcome to the Family","Nightmare","Avenged Sevenfold",2010-07-23,245573,69,spotify:user:angels_anarchy,2023-03-11T09:10:30Z,"alternative metal,nu metal",0.567,0.946,2,-3.973,0,0.0935,0.00267,0,0.0567,0.699,94.985,4
7myke8Id4WyKFlWcRBJdIF,"2ye2Wgw4gimLv2eAKyk1NB","Hardwired","Hardwired…To Self-Destruct","Metallica",2016-11-18,191331,59,spotify:user:angels_anarchy,2023-03-11T09:10:33Z,"hard rock,metal,old school thrash,rock,thrash metal",0.13,0.991,11,-3.126,1,0.0604,0.0000115,0.00412,0.225,0.505,185.364,4
5o8OdhjVZSF2wCj7M8UpMN,"0nmQIMXWTXfhgOBdNzhGOs","Natural Born Killer","Nightmare","Avenged Sevenfold",2010-07-23,315173,62,spotify:user:angels_anarchy,2023-03-11T09:10:36Z,"alternative metal,nu metal",0.394,0.952,7,-4.51,0,0.0677,0.000159,0.0000372,0.316,0.477,184.916,4
5lruZuUNMmcBfVybmEjxvM,"4qrHkx5cgWIslciLXUMrYw","The Rain","Laugh Tracks","Knocked Loose",2016-09-16,176532,43,spotify:user:angels_anarchy,2023-07-03T17:50:34Z,"kentucky metal,kentucky punk",0.33,0.933,2,-4.078,1,0.0602,0.000076,0.000107,0.324,0.428,136.854,4
4IEoWpnV0k58TWF5hkta6D,"7GfEcQxinRxo4cZML9ZcA3","Masochistic Healing","Tethra","Tethra",2019-09-13,289236,37,spotify:user:angels_anarchy,2023-03-11T09:11:46Z,"american metalcore,deep metalcore",0.45,0.981,6,-4.219,1,0.13,0.0000149,0.000114,0.367,0.147,130.991,4
4OyfdJiHM6sbfkFmRLrygg,"0nmQIMXWTXfhgOBdNzhGOs","Doing Time","Hail to the King","Avenged Sevenfold",2013-08-23,205933,59,spotify:user:angels_anarchy,2023-03-11T09:11:50Z,"alternative metal,nu metal",0.433,0.994,2,-6.004,1,0.0833,0.0000313,0.0564,0.196,0.533,160.033,4
51YZAJhOwIC5Gg3jMbAmhZ,"2ye2Wgw4gimLv2eAKyk1NB","For Whom The Bell Tolls (Remastered)","Ride The Lightning (Deluxe Remaster)","Metallica",1984-07-27,309973,73,spotify:user:angels_anarchy,2023-03-11T09:12:41Z,"hard rock,metal,old school thrash,rock,thrash metal",0.512,0.86,0,-6.145,1,0.0703,0.00631,0.00528,0.0652,0.258,117.909,4
4YPgTCGJWAlHQ5g6eWoM8r,"2ye2Wgw4gimLv2eAKyk1NB","The Four Horsemen (Remastered)","Kill 'Em All (Remastered)","Metallica",1983-07-25,432546,59,spotify:user:angels_anarchy,2023-03-11T09:12:53Z,"hard rock,metal,old school thrash,rock,thrash metal",0.222,0.938,0,-6.91,1,0.375,0.00171,0.0845,0.108,0.329,203.098,4
01LODLnhlfNphZ366BqKc0,"2ye2Wgw4gimLv2eAKyk1NB","Now That We're Dead","Hardwired…To Self-Destruct","Metallica",2016-11-18,419074,47,spotify:user:angels_anarchy,2023-03-11T09:12:57Z,"hard rock,metal,old school thrash,rock,thrash metal",0.566,0.951,2,-3.591,1,0.0464,0.000101,0.103,0.266,0.345,128.304,4
7fKvPKbTvIqIwdcHzdeRpY,"3bNDtUXyXrUroaHKDM7AlI","Eat the BloodClot","Eat the BloodClot","BLOOD CLOT",2023-06-16,144080,3,spotify:user:angels_anarchy,2023-07-03T16:51:30Z,"",0.265,0.974,1,-4.568,1,0.16,0.002,0.54,0.122,0.146,99.646,4
3ouyKg8HpcxmoubhUCpFlF,"2ye2Wgw4gimLv2eAKyk1NB","Spit Out the Bone","Hardwired…To Self-Destruct (Deluxe)","Metallica",2016-11-18,429198,37,spotify:user:angels_anarchy,2023-03-11T09:13:00Z,"hard rock,metal,old school thrash,rock,thrash metal",0.157,0.987,9,-3.739,1,0.091,0.00000925,0.0628,0.151,0.462,167.949,4
0KDs8a0NRdVIpbHHTqF87H,"2ye2Wgw4gimLv2eAKyk1NB","Am I Savage?","Hardwired…To Self-Destruct","Metallica",2016-11-18,389662,0,spotify:user:angels_anarchy,2023-03-11T09:13:15Z,"hard rock,metal,old school thrash,rock,thrash metal",0.337,0.944,0,-3.868,1,0.0502,0.000024,0.0015,0.084,0.239,144.063,4
1wF5hX7cYmDWvfIIj4PbYX,"7MnEOC6vXcGp5P8RiFrlCm","A Welcome Displeasure","Proprioception","And Hell Followed With",2010-07-14,229586,22,spotify:user:angels_anarchy,2023-07-04T14:30:06Z,"brutal deathcore,deathcore,melodic deathcore,melodic metalcore,progressive deathcore",0.546,0.927,1,-4.301,0,0.116,0.00019,0.00154,0.188,0.232,117.383,4
0SkwpuuPfrF0tmksECpbEq,"3vzyZYhXq78QlMV7VghI0e","Hacksaw Surgery","Megalodon","Guttural Slug",2013-01-01,184546,41,spotify:user:angels_anarchy,2023-07-04T01:31:28Z,"brutal death metal,danish death metal,pornogrind,slam death metal",0.506,0.729,10,-6.423,0,0.0373,0.00144,0.555,0.0965,0.379,90.015,4
0QV3swr7L8MZr72lL2izV1,"2ye2Wgw4gimLv2eAKyk1NB","Hardwired","Hardwired…To Self-Destruct (Deluxe)","Metallica",2016-11-18,189347,66,spotify:user:angels_anarchy,2023-03-11T09:13:34Z,"hard rock,metal,old school thrash,rock,thrash metal",0.128,0.991,11,-3.289,1,0.0582,0.0000111,0.00362,0.219,0.53,186.124,4
54bm2e3tk8cliUz3VSdCPZ,"2ye2Wgw4gimLv2eAKyk1NB","Master of Puppets (Remastered)","Master of Puppets (Remastered Deluxe Box Set)","Metallica",1986-03-03,515386,74,spotify:user:angels_anarchy,2023-03-11T09:13:39Z,"hard rock,metal,old school thrash,rock,thrash metal",0.539,0.828,4,-9.108,0,0.035,0.00067,0.421,0.154,0.562,105.25,4
