"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4C6Uex2ILwJi9sZXRdmqXp","Super Freaky Girl","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:0h5MuD9O9o1VoN07mQmwMQ","Super Freaky Girl","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2022-08-12","https://i.scdn.co/image/ab67616d0000b273c2b3ab9829aefad24fa2c1bc","1","1","170977","https://p.scdn.co/mp3-preview/cc54a94a06d0a1718fc56ab89f66a7dd7130fa2e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USUM72215262","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:76hfruVvmfQbw0eYn1nmeC","Cake By The Ocean","spotify:artist:6T5tfhQCknKG4UnH90qGnz","DNCE","spotify:album:3Wv4X8OA65pGpFzBkuUgAh","DNCE","spotify:artist:6T5tfhQCknKG4UnH90qGnz","DNCE","2016-11-18","https://i.scdn.co/image/ab67616d0000b2738d0a75346badc30c8b845be9","1","3","219146","https://p.scdn.co/mp3-preview/f42a9a2157e1b4653ffe9c54c3bb9357c293ead6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USUM71514637","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:3Dzso9Q2WwupEclqgxBZht","Pumped Up Kicks","spotify:artist:5UUdxfBMwm0hLlLgnZtBFv, spotify:artist:2mdhxkqoWFBLtEC5FRkMD0, spotify:artist:2FMdAViOScZVhMjAunoYNK","Madism, MKJ, Felix Samuel","spotify:album:6ZKLBSAh1rvS3KUQZljytB","Pumped Up Kicks","spotify:artist:5UUdxfBMwm0hLlLgnZtBFv, spotify:artist:2mdhxkqoWFBLtEC5FRkMD0, spotify:artist:2FMdAViOScZVhMjAunoYNK","Madism, MKJ, Felix Samuel","2020-08-21","https://i.scdn.co/image/ab67616d0000b2734134bc0197bdceef89ddcd70","1","1","145161","","false","74","NLT2H2000215","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:0v1x6rN6JHRapa03JElljE","Dynamite","spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX","방탄소년단","spotify:album:3zWmE5c3alhuoPLphxjMVd","Dynamite","spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX","방탄소년단","2020-08-21","https://i.scdn.co/image/ab67616d0000b2732f86d9710377e63bfbc82ba8","1","1","199053","","false","0","QM7282022872","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:5jE48hhRu8E6zBDPRSkEq7","All About That Bass","spotify:artist:6JL8zeS1NmiOftqZTRgdTz","Meghan Trainor","spotify:album:5W98Ab4VvQEuFEE4TIe5fE","Title (Deluxe)","spotify:artist:6JL8zeS1NmiOftqZTRgdTz","Meghan Trainor","2015-01-09","https://i.scdn.co/image/ab67616d0000b2733b11178cccd78ec77fc12dbc","1","2","187920","https://p.scdn.co/mp3-preview/1e2484002e1e6fe405506355be7a9696c892d66a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","USSM11401317","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:5eNGq77TvvAYYUjg2GX6iM","Cool","spotify:artist:7BdJ3BuGVleIpgSuSWY9ZT, spotify:artist:5is5DqPrikZst947JUUy9z, spotify:artist:41esbIbuaddLTrWceKGbf1","PARTYSTARTER, Navagio, ATHYN","spotify:album:0BXHKdi2FY4tRRSzJtx7Wt","Cool","spotify:artist:7BdJ3BuGVleIpgSuSWY9ZT, spotify:artist:5is5DqPrikZst947JUUy9z, spotify:artist:41esbIbuaddLTrWceKGbf1","PARTYSTARTER, Navagio, ATHYN","2023-08-24","https://i.scdn.co/image/ab67616d0000b27340dcbc0a913ed3c41240fcd3","1","1","149700","https://p.scdn.co/mp3-preview/947d2cec96220f287b3b7249d650830298bb45a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","NLT2H2300592","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:3DmW6y7wTEYHJZlLo1r6XJ","Shower","spotify:artist:4obzFoKoKRHIphyHzJ35G3","Becky G","spotify:album:4JlzEvVJqpb62Xwc0EmOHr","Shower","spotify:artist:4obzFoKoKRHIphyHzJ35G3","Becky G","2014-04-23","https://i.scdn.co/image/ab67616d0000b273f7f5503cfc6a54d31e65b112","1","1","206166","https://p.scdn.co/mp3-preview/147f604daafe57187f50f6dafa5a052262eedad5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USRC11400866","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:0yLdNVWF3Srea0uzk55zFn","Flowers","spotify:artist:5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","spotify:album:7I0tjwFtxUwBC1vgyeMAax","Flowers","spotify:artist:5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","2023-01-13","https://i.scdn.co/image/ab67616d0000b273f429549123dbe8552764ba1d","1","1","200454","","false","61","USSM12209777","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:1nInOsHbtotAmEOQhtvnzP","Stronger (What Doesn't Kill You)","spotify:artist:3BmGtnKgCSGYIUhmivXKWX","Kelly Clarkson","spotify:album:0VmE95pr5TSpZWucfyhO5e","Stronger (Deluxe Version)","spotify:artist:3BmGtnKgCSGYIUhmivXKWX","Kelly Clarkson","2011-10-24","https://i.scdn.co/image/ab67616d0000b273af384269742c6b04308c1be8","1","2","221946","https://p.scdn.co/mp3-preview/4956c3edb0a79489adc21e2d16eb8f7880c94d36?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","GBCTA1100364","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:3DamFFqW32WihKkTVlwTYQ","Fireflies","spotify:artist:07QEuhtrNmmZ0zEcqE9SF6","Owl City","spotify:album:3vf65wfk1EEjVhy6BjENsS","Ocean Eyes","spotify:artist:07QEuhtrNmmZ0zEcqE9SF6","Owl City","2009-01-01","https://i.scdn.co/image/ab67616d0000b273785d4e702802da500fc78b32","1","9","228346","https://p.scdn.co/mp3-preview/43dc49fcebcb6d83f3dd0570044bc20b1d01f5a3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USUM70972068","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
"spotify:track:3S0OXQeoh0w6AY8WQVckRW","I'm Yours","spotify:artist:4phGZZrJZRo4ElhRtViYdl","Jason Mraz","spotify:album:1UwzOp5hn3lAbOqsAfXBw8","We Sing. We Dance. We Steal Things. (Bonus Tracks Version)","spotify:artist:4phGZZrJZRo4ElhRtViYdl","Jason Mraz","2008-05-01","https://i.scdn.co/image/ab67616d0000b27333091fbb40edc2249e682bf2","1","2","242946","https://p.scdn.co/mp3-preview/0952568e496914bb61383588ac417ec70abefc1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USEE10800667","spotify:user:qon9p4ro7d4cjfj1dsfw99k9z","2023-11-03T15:40:17Z"
